_1,_2,_3
2002,9,83730
2013,6,200745
2012,1,110967
2018,7,197534
2011,2,139183
2018,2,139852
2016,6,144273
2006,3,209239
1997,3,166827
2008,6,234190
2008,8,180817
2019,12,180968
1999,7,187616
2011,7,163840
2019,4,153894
1998,11,121765
2009,12,190760
2009,7,183687
2012,8,157443
2007,10,201811
2000,5,166829
2000,10,169966
2001,3,180260
1997,7,170243
2011,11,110074
2000,6,202623
2006,7,223525
2017,8,150167
2010,9,120486
2004,11,183644
2008,3,230996
2007,6,258723
2014,2,146290
1997,5,140959
2006,10,229697
2020,5,13662
2020,8,48016
2014,7,170692
2000,7,190991
2004,8,194302
2010,5,155260
2002,8,125138
2006,2,180579
2015,12,140646
2004,7,210261
2006,11,196469
1997,4,151616
2008,4,191980
2020,7,48839
1998,4,150133
2014,5,154095
1997,6,174461
1999,5,158491
2009,8,164373
2000,9,147550
2015,6,163667
2016,3,124534
2004,5,185783
2002,5,123397
2002,7,139760
2020,3,83679
2013,1,137123
2015,5,133839
2018,11,166519
2001,4,154811
2001,10,107343
2005,4,155890
1996,6,175360
2003,7,166447
2012,12,157162
2008,2,222877
2007,8,248061
2008,11,132189
2004,10,183231
1996,2,170200
2010,2,143591
1996,7,175306
1999,12,160758
1997,9,121393
1996,4,148081
2019,11,130910
2000,1,158374
2000,12,212467
2011,10,114853
1997,10,148824
1997,2,161521
2008,10,127776
2003,3,144433
2012,6,146592
2019,7,184872
2011,8,146519
2007,5,205653
1998,5,156735
2012,10,138559
2017,2,97089
2000,8,197920
2007,3,227129
2019,3,157845
1996,10,172801
1996,11,152948
2003,2,152075
2020,4,14992
2016,5,116491
2005,10,167634
2005,1,429130
2007,7,258164
2016,11,93841
2009,2,123490
2004,12,230491
2000,11,180929
2007,11,180011
2001,1,175458
2010,10,135734
2003,9,117192
2001,9,92969
2012,2,98431
2015,10,100050
1999,10,151459
2018,10,155534
2014,1,166986
2018,12,161353
2003,10,128544
1997,11,152592
2011,9,119409
2018,8,196147
2009,11,93627
1997,1,200522
2011,3,157526
2004,1,197437
2005,6,211517
2017,3,132397
2020,9,35600
2014,9,127336
1996,1,201209
2019,8,183698
2005,3,206435
1998,1,161673
2015,8,138487
2014,4,140760
2002,10,117192
2004,2,182383
2001,11,108681
2008,1,219217
2006,9,193488
2018,1,282194
2002,1,128536
2010,12,189738
2002,3,148332
2015,2,138209
2005,5,160479
2009,9,114917
2001,7,168399
2009,3,161970
2007,2,227037
2017,11,83489
1998,2,150896
2003,1,141004
2008,12,231167
2002,6,139001
2015,1,142081
2001,8,178495
2017,12,124909
2020,6,51938
2019,2,165820
2010,11,136744
1999,4,164994
2013,10,136587
2005,2,176827
2017,9,92429
2018,6,187950
2009,4,155984
2012,11,106499
2016,12,148804
2017,1,137783
2014,11,131524
1998,12,174203
2018,3,152255
2004,4,161420
2019,6,207844
2011,6,166383
2011,5,161627
2016,10,101701
2017,10,108745
2004,3,172861
2012,3,271662
2003,11,159202
1998,6,182353
2009,6,182105
2003,12,191918
2014,12,162739
2004,9,129980
2017,4,131111
2007,4,208068
2001,6,174363
2005,12,230472
2006,12,227659
1997,12,183162
1998,7,151435
2010,8,152049
2006,5,192355
1999,1,176500
2001,5,147649
2002,11,102522
2015,3,144814
2002,12,134964
2004,6,221935
2003,4,111357
2010,1,147787
2001,2,171482
2014,3,157867
2013,5,159570
2009,1,162901
2012,5,125765
2019,10,155423
1996,5,157616
2010,7,181429
2014,10,142678
1996,3,169763
1998,8,152392
2008,5,189559
2020,1,123532
2005,7,238356
2012,9,119007
2013,3,155640
1999,11,135603
2002,4,123597
2018,5,169741
2016,4,104305
2017,7,153801
1998,10,136508
2019,1,151956
2015,7,155418
2019,5,176467
2007,12,273229
2016,8,145477
2003,6,150903
2013,2,128716
2010,6,177352
2008,7,203369
2015,11,111232
2008,9,118911
1996,9,153322
2009,10,175931
2014,6,183889
2012,7,174344
2002,2,104146
1998,9,111838
2013,9,124256
1999,8,168648
2016,7,156095
1999,3,151364
1999,6,187721
2017,6,156167
2018,9,138487
1999,2,126087
2017,5,138870
2016,1,107907
2011,1,148848
2015,4,128355
1997,8,167363
2010,3,153724
2006,4,187624
2010,4,120846
2019,9,123592
2014,8,156983
2003,8,168416
2013,12,205942
1996,12,213144
2003,5,129086
2006,6,222551
2012,4,106341
1999,9,136712
2007,9,164348
2000,3,166278
2020,2,123442
2013,7,203999
2018,4,154659
2016,2,92714
2000,2,155130
2009,5,155978
2015,9,96277
2006,1,175610
2011,12,118062
2011,4,167716
2005,8,213842
2007,1,223284
2005,9,148551
2001,12,136892
1996,8,185892
2006,8,211283
2013,4,164759
2013,11,124975
2005,11,173607
1998,3,168698
2016,9,100044
2000,4,164968
2013,8,171998
