_1,_2
Chicago', 9760885
Atlanta', 8732147
Dallas/Fort Worth', 6742430
Houston', 5434115
Los Angeles', 5213017
New York', 4945972
Denver', 4834929
Phoenix', 4385276
Washington', 3835825
Las Vegas', 3636887
San Francisco', 3565292
Detroit', 3497069
Minneapolis', 3339305
Charlotte', 3281236
Newark', 3135214
Boston', 2900740
Orlando', 2788478
Salt Lake City', 2766170
Seattle', 2718610
Philadelphia', 2470929
Baltimore', 2363064
St. Louis', 2271644
San Diego', 1982476
Cincinnati', 1785015
Miami', 1747337
Tampa', 1674394
Fort Lauderdale', 1605076
Portland', 1560550
Pittsburgh', 1468136
Cleveland', 1431969
Nashville', 1414428
Oakland', 1390912
Kansas City', 1333145
San Jose', 1302999
Dallas', 1297654
Raleigh/Durham', 1135841
Austin', 1121323
Memphis', 1115730
New Orleans', 1110850
Sacramento', 1096592
Santa Ana', 1047017
Honolulu', 970025
San Antonio', 943785
Columbus', 902783
Indianapolis', 895553
Albuquerque', 797213
Ontario', 726771
Hartford', 688279
Milwaukee', 685068
Burbank', 669819
Jacksonville', 638463
West Palm Beach/Palm Beach', 610038
Fort Myers', 594362
San Juan', 592292
Reno', 561145
Buffalo', 540323
Oklahoma City', 524416
Omaha', 521003
Providence', 508059
El Paso', 497367
Tucson', 486939
Louisville', 483804
Tulsa', 478900
Anchorage', 473561
Birmingham', 459524
Richmond', 436180
Norfolk', 425957
Kahului', 404642
Rochester', 388438
Little Rock', 361665
Boise', 350759
Albany', 326621
Manchester', 315946
Spokane', 315777
Charleston', 315427
Grand Rapids', 310616
Greensboro/High Point', 310545
Dayton', 298065
Colorado Springs', 297828
Des Moines', 278199
Fayetteville', 273327
Knoxville', 262019
Syracuse', 259789
Long Beach', 255646
Savannah', 242489
Greer', 241923
Wichita', 241059
Palm Springs', 234614
Jackson/Vicksburg', 227332
Madison', 225119
Fresno', 222481
Kona', 220042
Lihue', 213802
Pensacola', 203659
White Plains', 195923
Santa Barbara', 193549
Columbia', 191031
Huntsville', 188889
Islip', 185795
Midland/Odessa', 185230
Lubbock', 180489
Baton Rouge', 180285
Springfield', 173230
Cedar Rapids/Iowa City', 171978
Lexington', 168465
Harrisburg', 162467
Amarillo', 152101
Shreveport', 150673
Akron', 143211
Corpus Christi', 142446
Sarasota/Bradenton', 139059
Burlington', 131910
Sioux Falls', 126620
Myrtle Beach', 126444
Mobile', 125768
Valparaiso', 123156
Green Bay', 122722
Hilo', 113449
Fairbanks', 111995
Harlingen/San Benito', 110882
Allentown/Bethlehem/Easton', 110091
Fort Wayne', 109814
Juneau', 108760
Moline', 106394
Monterey', 106259
Fargo', 104751
Eugene', 103383
Flint', 101089
South Bend', 99707
Gulfport/Biloxi', 99201
Chattanooga', 98758
Tallahassee', 97865
Bozeman', 96693
Asheville', 95157
San Luis Obispo', 93286
Billings', 93045
Mission/McAllen/Edinburg', 92450
Lafayette', 89787
