_1,_2,_3
4,11,429286
1,22,125220
7,14,434202
7,09,296218
1,03,600
7,16,480645
4,00,36518
1,10,398533
3,08,377942
3,04,309
5,01,7366
5,09,398304
1,04,418
4,18,579291
4,16,532179
6,18,310549
5,16,546752
3,18,509059
2,17,532975
6,13,370746
6,21,126080
5,15,551579
5,11,449063
2,05,36667
2,15,446212
4,22,147527
3,16,473924
5,14,503586
3,02,1134
1,14,446821
3,12,393802
4,08,404898
6,02,1522
1,11,424796
5,04,388
3,21,243945
2,13,412414
7,11,370013
4,15,530601
4,13,481586
5,00,40205
4,02,1332
4,05,38166
7,15,476344
4,07,369509
4,01,6377
7,08,289979
5,22,146745
2,11,375514
2,20,339712
4,14,477020
2,08,375633
7,01,6061
1,20,373766
1,12,430689
6,01,7380
5,13,510028
1,13,459801
7,02,1303
3,20,372899
4,21,291621
3,00,36009
5,12,463826
1,06,305022
3,01,5655
5,08,409738
6,15,359948
7,21,282696
6,10,333932
7,06,189409
2,14,404337
7,03,570
7,13,434030
7,22,140183
6,09,330485
6,03,677
5,06,310427
5,21,295094
6,06,246578
1,18,501622
7,07,234280
3,17,575162
7,23,48805
3,10,361381
2,01,6001
6,23,33186
4,04,283
2,03,584
1,24,4
3,03,518
5,20,445453
3,07,343557
3,09,362145
5,17,651633
7,24,20
3,13,430987
7,12,393222
3,05,35887
6,08,339358
1,16,474849
2,22,110401
4,09,391572
4,23,52221
4,12,438465
5,10,413029
2,00,36507
2,09,357300
1,00,42412
6,19,263598
6,20,198317
4,24,9
2,06,286215
2,23,36270
7,20,419377
7,10,326589
5,07,372327
4,,1
2,07,347607
7,00,38252
6,24,16
6,12,362147
2,10,354429
3,23,41130
2,02,1300
6,14,353297
4,06,302723
6,07,287412
1,19,470794
5,23,51228
4,20,439427
2,19,433939
7,19,509954
1,05,39413
1,15,485958
2,21,220769
1,23,41989
1,01,6838
3,15,473837
6,11,357899
3,22,123054
6,00,32687
4,03,520
6,17,374637
3,19,473587
1,08,405140
4,19,547423
5,19,547523
2,18,467156
7,05,26617
4,17,644891
7,18,532753
2,16,441763
1,07,369555
5,02,1462
5,18,580530
5,05,40242
6,22,72194
1,02,1470
5,24,12
2,24,10
5,03,670
7,17,583939
4,10,398994
3,24,8
7,04,403
1,09,392009
2,04,341
1,17,567197
6,04,400
6,05,33049
3,06,283040
3,14,423635
1,21,246743
3,11,385704
6,16,339200
2,12,380562
