_1,_2,_3,_4
2007,8,6,162.0
2012,3,2,118.0
1999,7,7,142.0
2003,6,3,139.0
2010,8,6,98.0
2011,6,2,177.0
2016,9,3,181.0
2004,11,3,166.0
2004,9,3,116.0
2009,3,2,111.0
1999,7,3,414.0
2005,12,6,185.0
2006,8,4,341.0
1999,4,1,143.0
2016,2,4,95.0
2016,8,6,159.0
2002,7,7,137.0
2008,3,5,221.0
2009,9,1,202.0
2002,11,2,55.0
2011,9,2,92.0
2019,9,6,115.0
2011,7,1,286.0
2015,4,6,147.0
2003,1,7,104.0
2013,8,7,88.0
2011,12,7,81.0
1998,1,1,218.0
2010,9,5,119.0
1998,8,2,208.0
2002,4,7,150.0
2010,4,1,120.0
2000,8,5,202.0
2005,12,1,103.0
2006,2,5,277.0
2014,7,2,201.0
1998,7,4,171.0
2004,11,2,207.0
2020,4,1,31.0
2019,4,4,154.0
1997,7,4,113.0
2012,12,7,233.0
2017,5,7,98.0
2010,2,2,158.0
2019,1,4,202.0
2019,8,6,135.0
2006,12,3,160.0
2007,8,3,331.0
1997,10,6,118.0
2002,2,1,73.0
2005,9,5,132.0
2011,1,1,201.0
2006,10,2,180.0
2012,9,4,124.0
2015,3,2,207.0
2015,7,7,137.0
2001,7,1,177.0
2013,7,1,257.0
2019,3,7,161.0
1998,4,4,201.0
2016,9,6,72.0
2002,6,5,109.0
2005,1,1,464.0
2000,5,5,336.0
2012,12,3,162.0
2017,3,3,198.0
2019,12,3,177.0
2003,12,3,90.0
2012,4,4,110.0
1998,5,3,148.0
2016,10,6,55.0
2017,12,3,110.0
2000,6,5,233.0
2009,9,5,124.0
2013,3,5,134.0
2010,7,6,213.0
2012,10,2,105.0
2006,10,6,89.0
2002,4,1,140.0
1998,3,5,168.0
2020,7,7,123.0
1998,4,3,206.0
2009,2,4,171.0
2000,10,2,187.0
2016,3,3,224.0
2004,11,5,91.0
2011,8,4,225.0
1996,2,4,244.0
2004,10,2,111.0
2006,6,4,300.0
2004,4,5,103.0
2013,3,4,78.0
2001,9,3,44.0
2008,6,6,431.0
1999,3,1,236.0
2009,7,3,259.0
1996,2,1,85.0
2001,8,7,107.0
2009,10,1,145.0
2010,6,6,158.0
1996,2,7,82.0
2015,9,2,146.0
2020,5,1,41.0
2001,2,1,217.0
2016,6,1,284.0
1996,3,5,132.0
2002,9,2,69.0
2016,12,2,133.0
2010,10,7,124.0
2011,10,4,101.0
2014,11,3,71.0
1997,3,4,146.0
2003,3,1,161.0
2012,1,7,185.0
2014,5,2,351.0
2016,4,7,125.0
2020,6,5,48.0
2001,9,5,121.0
2005,9,1,86.0
2005,1,6,738.0
2013,8,2,198.0
2014,8,3,159.0
2000,11,5,70.0
2010,12,3,301.0
2014,6,6,212.0
2001,9,2,685.0
2007,1,5,309.0
2008,5,2,230.0
2006,1,6,122.0
2013,4,2,138.0
2018,9,2,147.0
2012,1,2,106.0
1999,7,6,230.0
2004,3,6,110.0
2005,6,7,171.0
2019,9,7,153.0
1997,12,2,262.0
2004,5,7,329.0
1997,6,5,315.0
2014,4,1,166.0
1998,9,1,97.0
2002,10,1,155.0
2002,2,6,34.0
2003,6,7,90.0
2007,11,2,89.0
2003,4,3,88.0
2002,5,6,36.0
2015,7,1,209.0
2014,11,5,73.0
2016,7,2,253.0
2006,2,3,199.0
2004,2,1,116.0
2006,12,2,105.0
2009,5,5,231.0
2010,3,3,195.0
2008,9,4,71.0
2020,5,4,43.0
2020,9,6,76.0
2004,1,6,163.0
2015,6,5,200.0
2017,3,5,106.0
1998,2,4,123.0
2009,11,6,66.0
1999,9,4,287.0
2014,11,1,95.0
2017,1,3,156.0
2019,3,5,256.0
1998,10,4,89.0
2016,11,1,110.0
2000,4,7,205.0
2013,3,1,206.0
2017,1,2,245.0
2008,3,1,230.0
2005,7,4,365.0
1998,11,2,135.0
2001,7,6,115.0
2019,9,4,166.0
2001,6,5,274.0
2011,3,2,88.0
2015,4,3,138.0
2009,11,4,88.0
2016,12,7,162.0
2010,3,4,185.0
1997,8,1,88.0
2004,1,3,118.0
2004,12,6,203.0
1997,4,2,87.0
2002,2,7,42.0
2006,11,1,134.0
2005,1,3,764.0
2011,4,7,182.0
1997,9,7,74.0
2004,8,1,167.0
2013,9,3,146.0
2000,6,4,230.0
2019,7,3,483.0
2011,8,7,205.0
2004,8,6,134.0
2011,5,7,300.0
2017,8,6,213.0
2019,4,3,113.0
2017,1,4,133.0
2002,9,6,68.0
2019,9,3,148.0
2010,4,6,116.0
2002,4,2,123.0
1997,1,3,213.0
2019,6,2,214.0
1998,12,7,341.0
2016,6,7,259.0
2014,8,5,248.0
2015,10,1,68.0
2003,10,2,87.0
2005,8,7,447.0
2011,10,3,77.0
2020,5,2,35.0
2002,10,3,57.0
2013,12,3,86.0
2002,8,4,121.0
2017,10,2,93.0
2007,12,7,300.0
2008,12,4,346.0
2009,1,3,142.0
2017,10,7,162.0
2011,12,2,102.0
2012,2,2,71.0
1996,9,2,134.0
2015,12,5,116.0
1998,9,5,68.0
2009,2,1,88.0
2004,6,6,152.0
2005,4,5,148.0
1998,11,5,45.0
2015,3,3,146.0
