_1,_2
0,397073
1,1040207
2,1254935
3,1421017
4,1633523
5,1750149
6,1879049
7,1988023
8,2033758
9,2029167
10,1951438
11,1913917
12,1831147
13,1772526
14,1669163
15,1562386
16,1420209
17,1253734
18,1107601
19,984128
20,862031
21,730382
22,572453
23,452620
24,344345
25,266381
26,214852
27,186368
28,159893
29,135020
30,99270
31,81172
32,67268
33,47305
34,44036
35,48924
36,46131
37,46863
38,42150
39,38551
40,32352
41,24461
42,14297
43,7272
44,5332
45,4435
46,4380
47,4234
48,4042
49,3767
50,2720
51,2540
52,2401
53,1800
54,1630
55,1173
56,812
57,202
58,738
59,61
60,105
61,110
2003,802
2004,1328
2005,1952
2006,2163
2007,2648
2008,1913
2009,822
2010,1172
2011,1291
2012,1505
2013,1217
2014,1034
2015,4
-11,723
-10,510
-9,557
-8,760
-7,845
-5,802
-4,831
-3,970
-1,2814
-2,2035
