_1,_2,_3,_4
2007,8,6,24803
2012,3,2,15136
1999,7,7,20231
2003,6,3,21667
2010,8,6,14770
2011,6,2,21122
2016,9,3,14292
2004,11,3,26059
2004,9,3,23478
2009,3,2,21830
1999,7,3,25551
2005,12,6,26559
2006,8,4,46067
1999,4,1,20675
2016,2,4,13746
2016,8,6,15548
2002,7,7,19274
2008,3,5,36150
2009,9,1,16842
2002,11,2,15496
2011,9,2,15595
2019,9,6,10565
2011,7,1,22691
2015,4,6,12134
2003,1,7,19545
2013,8,7,20446
2011,12,7,10495
1998,1,1,22175
2010,9,5,17551
1998,8,2,22447
2002,4,7,20686
2010,4,1,16826
2000,8,5,28140
2005,12,1,29303
2006,2,5,33516
2014,7,2,27996
1998,7,4,28136
2004,11,2,31389
2020,4,1,2428
2019,4,4,21219
1997,7,4,29725
2012,12,7,25064
2017,5,7,14467
2010,2,2,20719
2019,1,4,28879
2019,8,6,19896
2006,12,3,29118
2007,8,3,39868
1997,10,6,14656
2002,2,1,14492
2005,9,5,30665
2011,1,1,27865
2006,10,2,30345
2012,9,4,19910
2015,3,2,21259
2015,7,7,17371
2001,7,1,25444
2013,7,1,36413
2019,3,7,27675
1998,4,4,32148
2016,9,6,8193
2002,6,5,22730
2005,1,1,72328
2000,5,5,31350
2012,12,3,21698
2017,3,3,20933
2019,12,3,21173
2003,12,3,28135
2012,4,4,15121
1998,5,3,21181
2016,10,6,10275
2017,12,3,16933
2000,6,5,38370
2009,9,5,18975
2013,3,5,26479
2010,7,6,23550
2012,10,2,18237
2006,10,6,21931
2002,4,1,21685
1998,3,5,26419
2020,7,7,7079
1998,4,3,28056
2009,2,4,19664
2000,10,2,23688
2016,3,3,18172
2004,11,5,23028
2011,8,4,22718
1996,2,4,32564
2004,10,2,21061
2006,6,4,38915
2004,4,5,29539
2013,3,4,17508
2001,9,3,7952
2008,6,6,25677
1999,3,1,23381
2009,7,3,32017
1996,2,1,20277
2001,8,7,23815
2009,10,1,23870
2010,6,6,18221
1996,2,7,20596
2015,9,2,14627
2020,5,1,1775
2001,2,1,21754
2016,6,1,18658
1996,3,5,31330
2002,9,2,10269
2016,12,2,18379
2010,10,7,19268
2011,10,4,20049
2014,11,3,20239
1997,3,4,23889
2003,3,1,20642
2012,1,7,16532
2014,5,2,19457
2016,4,7,14275
2020,6,5,3952
2001,9,5,17094
2005,9,1,20085
2005,1,6,52056
2013,8,2,20172
2014,8,3,19329
2000,11,5,23145
2010,12,3,33843
2014,6,6,18011
2001,9,2,10217
2007,1,5,34484
2008,5,2,24293
2006,1,6,16147
2013,4,2,24078
2018,9,2,18917
2012,1,2,15659
1999,7,6,27581
2004,3,6,18457
2005,6,7,27131
2019,9,7,18653
1997,12,2,31519
2004,5,7,27499
1997,6,5,28630
2014,4,1,22918
1998,9,1,14457
2002,10,1,14767
2002,2,6,10504
2003,6,7,22769
2007,11,2,25920
2003,4,3,17931
2002,5,6,10330
2015,7,1,21071
2014,11,5,15603
2016,7,2,19574
2006,2,3,21052
2004,2,1,26183
2006,12,2,28327
2009,5,5,30283
2010,3,3,22765
2008,9,4,17668
2020,5,4,2211
2020,9,6,3835
2004,1,6,27955
2015,6,5,23853
2017,3,5,25321
1998,2,4,24006
2009,11,6,7556
1999,9,4,23084
2014,11,1,19518
2017,1,3,15978
2019,3,5,30212
1998,10,4,24278
2016,11,1,14765
2000,4,7,28332
2013,3,1,26532
2017,1,2,20055
2008,3,1,40329
2005,7,4,34917
1998,11,2,17979
2001,7,6,18489
2019,9,4,20781
2001,6,5,35589
2011,3,2,20359
2015,4,3,19301
2009,11,4,14107
2016,12,7,20523
2010,3,4,20029
1997,8,1,22009
2004,1,3,21895
2004,12,6,20075
1997,4,2,19947
2002,2,7,13912
2006,11,1,29486
2005,1,3,62340
2011,4,7,18077
1997,9,7,15626
2004,8,1,31695
2013,9,3,15507
2000,6,4,36338
2019,7,3,29744
2011,8,7,19997
2004,8,6,19976
2011,5,7,23940
2017,8,6,14668
2019,4,3,15985
2017,1,4,18759
2002,9,6,6897
2019,9,3,16261
2010,4,6,11908
2002,4,2,18862
1997,1,3,31206
2019,6,2,26799
1998,12,7,23748
2016,6,7,18531
2014,8,5,29379
2015,10,1,11818
2003,10,2,17427
2005,8,7,26755
2011,10,3,17321
2020,5,2,1414
2002,10,3,18753
2013,12,3,22313
2002,8,4,22415
2017,10,2,15502
2007,12,7,48356
2008,12,4,27890
2009,1,3,22640
2017,10,7,18639
2011,12,2,16966
2012,2,2,11264
1996,9,2,20573
2015,12,5,15308
1998,9,5,19907
2009,2,1,16949
2004,6,6,22085
2005,4,5,32358
1998,11,5,16131
2015,3,3,18437
2003,8,4,20955
2015,5,1,20668
2010,2,5,25335
2008,9,5,20367
2016,4,2,11980
2007,1,7,33137
2007,4,2,27564
2011,4,3,23709
1998,3,6,19878
2011,5,6,14063
2014,9,7,17847
2010,9,1,17511
2013,7,2,32679
2020,7,2,5597
2014,6,7,26821
2016,4,6,15103
2010,2,3,19464
2018,8,6,20435
2015,5,2,18654
2001,10,6,11583
1999,12,4,29081
1999,12,6,14614
2020,3,1,11633
2018,1,4,34340
1997,11,5,25398
2004,7,2,24627
2010,11,6,13308
2003,3,6,19091
2011,8,1,25586
2020,6,2,3724
1997,8,5,30681
2009,4,2,19469
2018,6,6,25523
2018,8,1,27213
2007,4,6,19301
2006,10,5,39808
2017,7,6,21608
1999,5,7,22862
1998,4,7,19029
2013,11,4,16971
2014,5,4,32560
2009,10,2,21750
1998,10,3,16209
2016,2,2,15725
2019,8,4,35480
2014,5,3,21476
2007,10,5,33915
1999,8,7,27242
2011,9,7,14443
2005,11,1,29111
1999,11,4,16076
1999,4,3,21498
2008,3,2,27459
2014,1,2,17752
2019,12,4,21496
1997,10,2,15588
2008,4,3,27935
2010,3,6,16648
2013,1,5,18981
2014,1,7,18940
2018,12,3,18491
2010,8,5,20994
2008,1,1,27969
1999,12,5,24306
2003,5,2,14862
2011,11,6,10349
2016,3,5,19193
2000,11,6,17961
2002,3,7,26618
2006,6,1,32187
2020,5,6,1787
1997,9,1,18411
2000,3,7,22419
2013,9,2,14432
2008,8,5,34359
2003,12,6,21354
2000,12,2,27841
1997,10,1,18326
2003,5,4,24513
2001,4,4,23877
2005,3,1,27379
1996,8,1,23623
2002,1,7,15939
2012,11,2,14642
2018,4,2,21661
2009,8,6,21460
2017,9,1,13093
2010,10,3,19328
2019,2,3,26406
1996,9,3,22156
2002,8,1,19108
2007,11,4,27579
2012,6,4,21344
1996,6,6,23862
2018,5,4,34998
2017,2,5,17290
2005,3,7,23739
2011,11,7,14708
2020,2,6,13578
2009,9,7,14954
2008,1,5,30622
2011,8,5,19143
2015,2,7,17854
1999,5,4,24512
2007,1,4,30993
2004,7,1,27135
1997,10,7,21899
2000,12,6,28015
2015,11,1,19606
2011,3,7,22256
2020,1,1,16528
1996,10,1,22849
2019,11,4,18365
2017,9,7,10036
2013,5,2,19019
2001,4,6,15193
2005,9,6,11625
2014,4,5,19717
2000,7,4,24786
2003,2,5,26112
2016,8,2,22205
2007,5,5,32033
2004,6,3,37613
2006,9,6,24597
2005,6,5,31023
2005,7,7,32804
2009,2,5,22530
2011,1,5,20386
2020,1,6,18395
1999,1,5,33020
1997,12,4,23048
2007,5,4,39046
2009,4,5,24046
2007,3,7,27543
2012,5,1,18000
2012,9,2,17664
1997,8,6,22033
1996,11,3,22004
2017,4,7,21697
2008,5,6,22165
2007,6,2,35514
2018,1,1,57762
2009,11,5,13552
2015,8,6,17056
2001,12,1,15836
2000,1,6,15984
2018,4,4,19853
1996,3,3,23715
1999,1,7,27856
2011,1,6,16866
1999,12,1,23189
2015,12,4,21101
2006,12,6,33515
1997,1,6,22645
1999,3,5,22666
2002,5,2,13869
2010,6,7,23564
1997,5,3,17197
2006,10,3,31903
2003,5,1,16808
1996,7,2,28938
2001,12,2,13446
2000,7,2,18979
2008,6,7,39173
2015,10,2,9404
2007,6,5,46936
2013,6,7,33708
2020,8,5,6674
2009,4,7,21116
2009,8,3,22534
2003,11,6,18363
2001,6,4,27795
2011,11,2,21337
2013,10,4,27019
2007,9,1,23588
2000,9,2,19937
2002,12,4,21363
2009,4,6,15371
1999,5,2,20835
2013,3,7,26420
2009,8,5,24435
2017,10,5,16414
2001,3,1,21363
2003,4,4,16766
2012,1,6,11308
2013,12,6,24937
1997,10,3,23556
2004,1,2,24295
2019,10,7,20831
1996,10,3,27599
2007,2,4,38428
2001,11,7,15086
2001,2,2,23091
1999,3,4,21134
2001,12,4,23172
