_1,_2
0,879286
1,2342931
2,2860192
3,3269354
4,3702608
5,3990454
6,4265809
7,4579518
8,4730078
9,4800789
10,4718494
11,4747632
12,4590931
13,4478074
14,4268707
15,4066276
16,3724414
17,3272778
18,2887540
19,2545562
20,2199119
21,1864823
22,1465122
23,1184568
24,935363
25,734277
26,608640
27,537172
28,448581
29,355512
30,243784
31,199914
32,168176
33,118286
34,111034
35,124642
36,111052
37,104828
38,90237
39,78838
40,69762
41,58531
42,35650
43,17628
44,12165
45,10684
46,10761
47,11058
48,10137
49,9173
50,6641
51,6747
52,6382
53,5017
54,4233
55,2766
56,2332
57,652
58,2102
59,158
60,219
61,243
2003,2969
2004,4070
2005,5404
2006,4313
2007,6109
2008,5117
2009,2953
2010,3001
2011,2954
2012,3405
2013,2901
2014,2206
2015,16
-11,1314
-10,1292
-9,1450
-8,1598
-7,2031
-5,2259
-4,2262
-3,2255
-2,3934
-1,5377
