origin,dest,passengers
13930,11986,2620461.250500002
11057,10792,2112192.836599999
14252,14869,952855.7157000008
13121,13930,33967.62999999999
11721,13342,65643.77500000002
11577,10397,29283.694999999996
14802,12264,39527.64000000001
13342,14771,360145.4679999998
10849,10779,368.16999999999996
11267,11298,703741.5068999995
14679,12758,79813.37259999999
14869,14252,954414.209
12523,15841,3999.726599999999
11193,15356,9979.119600000002
11193,14027,1020017.9574000002
10800,11921,160.975
14635,12197,370148.33369999984
11042,13296,510120.3098000001
12892,11292,17337804.71789999
13487,10257,115950.64679999999
11433,14908,787090.2890000005
15919,14730,42.28
11641,10397,1738931.7615999987
13830,14679,628204.8341000001
11278,13931,8701.445
13495,12266,7954018.771800001
10693,11193,643663.6538999998
11996,13232,307585.30010000017
12953,10785,32992.84
12206,10747,30.373300000000004
10423,14771,1244582.8699000005
11278,13930,12257259.792900007
12758,12892,2481102.008399999
11057,15096,1073483.6629999995
12191,10693,2081914.3350999986
14524,13303,79219.9719
13851,11057,24818.366599999994
11638,11002,24.810000000000002
10785,11109,37.97
11140,10397,161617.29739999998
12264,14027,88120.94860000005
10434,10397,382552.1795999998
12478,11278,1220203.154500001
11884,14570,10557.3366
11433,11423,73454.26749999993
11823,11057,40209.42499999999
11721,13344,4350.475
14771,11259,92928.18620000008
12451,11259,32381.47729999999
13076,13487,678126.3539999994
12889,10627,3235.8405999999995
14122,13796,187.94129999999998
12951,11292,13190.331599999998
10821,13296,3810321.738099999
15323,13204,938.6
10785,10821,115977.5375
14747,14869,7299519.292900001
11884,14771,684360.0164000001
10792,11996,119.755
11292,10599,256999.64169999992
11648,14107,14945.501300000007
12197,11433,433499.9825000001
14122,14027,311152.29050000006
10372,11292,1084891.5009999992
15370,10397,1618031.4618000004
15380,14150,43.465
10299,14057,1523737.9945999999
16440,13244,253719.44550000003
14252,15389,253.515
14100,11423,206.83999999999997
12217,13377,286431.148
10785,14122,164905.43310000008
13871,10599,40.67
15304,11066,1217176.9814999988
11337,13930,493124.63259999995
13029,13244,946.3600000000001
13851,12191,1906755.6446999996
15380,13459,26136.411700000008
15356,11193,10068.411100000001
13851,11066,106.1298
13198,14747,573011.8183999994
12896,11298,863207.9453999994
12264,13360,9519.741399999997
10185,10136,78.58
12264,11292,9701452.474799998
14679,14100,1129294.8264999993
14683,10821,878551.0715999996
14057,14489,427072.7740000001
10431,14100,960.8050000000001
14262,14113,37.855
11057,13930,6185020.724999999
12892,14747,14267181.66669996
