_1,_2,_3
2002,9,123310
2013,6,252977
2012,1,149036
2018,7,247370
2011,2,180465
2018,2,177170
2016,6,184482
2006,3,272779
1997,3,232920
2008,6,295897
2008,8,239737
2019,12,227576
1999,7,246545
2011,7,215566
2019,4,195779
1998,11,176775
2009,12,239107
2009,7,241062
2012,8,208734
2007,10,270098
2000,5,222205
2000,10,228650
2001,3,239864
1997,7,238653
2011,11,154170
2000,6,256232
2006,7,289819
2017,8,190946
2010,9,169708
2004,11,247431
2008,3,294556
2007,6,326446
2014,2,184487
1997,5,211381
2006,10,296026
2020,5,21042
2020,8,70150
2014,7,220419
2000,7,247627
2004,8,261180
2010,5,206353
2002,8,174227
2006,2,233511
2015,12,179494
2004,7,277891
2006,11,257571
1997,4,216821
2008,4,256142
2020,7,70366
1998,4,210348
2014,5,200422
1997,6,241324
1999,5,215699
2009,8,218401
2000,9,202646
2015,6,206989
2016,3,164326
2004,5,247986
2002,5,171711
2002,7,189060
2020,3,112682
2013,1,182070
2015,5,175178
2018,11,215236
2001,4,211608
2001,10,154203
2005,4,220347
1996,6,239859
2003,7,226513
2012,12,201482
2008,2,278902
2007,8,317197
2008,11,181506
2004,10,253046
1996,2,226309
2010,2,186804
1996,7,241317
1999,12,218070
1997,9,186150
1996,4,211931
2019,11,173403
2000,1,211639
2000,12,261539
2011,10,161621
1997,10,216877
1997,2,219784
2008,10,183582
2003,3,199159
2012,6,197091
2019,7,230062
2011,8,196705
2007,5,275332
1998,5,217872
2012,10,188527
2017,2,126949
2000,8,255928
2007,3,293360
2019,3,204543
1996,10,241255
1996,11,213576
2003,2,201884
2020,4,21568
2016,5,157507
2005,10,234667
2005,1,549212
2007,7,326559
2016,11,128240
2009,2,166878
2004,12,293747
2000,11,236153
2007,11,242722
2001,1,233023
2010,10,188900
2003,9,170958
2001,9,129643
2012,2,138349
2015,10,141250
1999,10,214485
2018,10,206157
2014,1,206492
2018,12,207808
2003,10,190070
1997,11,211333
2011,9,166586
2018,8,244947
2009,11,134359
1997,1,259847
2011,3,209057
2004,1,257848
2005,6,277202
2017,3,172669
2020,9,54124
2014,9,172586
1996,1,252972
2019,8,229194
2005,3,273401
1998,1,219091
2015,8,180891
2014,4,185651
2002,10,165998
2004,2,241259
2001,11,156076
2008,1,279427
2006,9,254851
2018,1,358694
2002,1,176118
2010,12,240259
2002,3,199497
2015,2,175443
2005,5,227667
2009,9,164050
2001,7,229168
2009,3,212221
2007,2,284152
2017,11,115583
1998,2,203540
2003,1,195954
2008,12,280493
2002,6,186988
2015,1,183110
2001,8,238874
2017,12,159471
2020,6,77618
2019,2,204694
2010,11,187232
1999,4,222695
2013,10,189718
2005,2,234099
2017,9,125915
2018,6,236283
2009,4,207043
2012,11,150009
2016,12,187744
2017,1,172053
2014,11,175173
1998,12,227677
2018,3,201023
2004,4,225877
2019,6,255253
2011,6,218460
2011,5,212223
2016,10,139663
2017,10,147411
2004,3,237899
2012,3,366080
2003,11,217154
1998,6,238679
2009,6,237086
2003,12,254361
2014,12,207445
2004,9,187620
2017,4,167073
2007,4,273055
2001,6,232071
2005,12,291816
2006,12,287513
1997,12,242121
1998,7,213780
2010,8,206077
2006,5,257031
1999,1,225623
2001,5,205523
2002,11,146106
2015,3,190133
2002,12,179807
2004,6,286658
2003,4,162603
2010,1,193759
2001,2,222793
2014,3,207478
2013,5,210514
2009,1,210203
2012,5,171789
2019,10,202322
1996,5,223881
2010,7,236172
2014,10,190567
1996,3,231271
1998,8,212286
2008,5,254673
2020,1,161625
2005,7,303179
2012,9,162147
2013,3,205377
1999,11,191851
2002,4,172803
2018,5,217272
2016,4,141381
2017,7,192893
1998,10,196950
2019,1,193194
2015,7,199717
2019,5,222743
2007,12,333702
2016,8,184382
2003,6,210356
2013,2,170355
2010,6,231109
2008,7,264630
2015,11,149439
2008,9,169959
1996,9,217752
2009,10,229578
2014,6,230496
2012,7,224610
2002,2,148683
1998,9,165468
2013,9,171211
1999,8,230286
2016,7,194943
1999,3,208654
1999,6,246506
2017,6,196315
2018,9,180549
1999,2,176402
2017,5,177269
2016,1,142281
2011,1,194863
2015,4,171820
1997,8,236197
2010,3,203491
2006,4,250085
2010,4,169248
2019,9,162626
2014,8,204515
2003,8,227706
2013,12,254179
1996,12,271509
2003,5,184623
2006,6,287818
2012,4,150954
1999,9,193329
2007,9,225751
2000,3,225612
2020,2,159248
2013,7,258873
2018,4,201697
2016,2,123475
2000,2,208512
2009,5,208530
2015,9,133432
2006,1,233144
2011,12,161660
2011,4,217316
2005,8,280679
2007,1,286334
2005,9,210172
2001,12,186817
1996,8,253921
2006,8,277218
2013,4,213426
2013,11,170593
2005,11,235387
1998,3,229621
2016,9,136361
2000,4,221322
2013,8,227098
