_1,_2,_3,_4
2000,2,25,15015
2002,12,8,13417
2003,5,6,17243
2016,1,8,14965
2017,4,9,15417
1996,2,14,14440
2006,4,3,19684
2006,8,8,20462
2007,5,7,20882
2008,9,28,17646
2018,3,6,19482
2019,2,11,19166
1997,3,5,14771
2000,5,27,12903
2002,11,12,14262
2014,3,25,16447
2009,2,25,17975
2011,4,27,16604
2017,1,27,15370
1997,12,18,14783
2003,12,23,18699
2011,3,30,17054
2012,7,24,17902
2014,5,30,16906
2006,1,21,15742
1997,6,23,15147
1998,9,9,13536
2008,10,7,17917
2009,7,3,17382
2011,1,5,16188
2012,2,4,12947
2014,8,30,12274
2000,6,4,14979
2002,8,7,15283
2003,9,9,17679
2004,10,8,20287
2004,6,1,19483
2017,12,5,14852
1996,10,2,14817
2006,12,7,19955
2007,1,2,20970
2009,4,17,17969
2018,11,2,20136
2020,5,28,6014
2020,9,29,9423
1997,11,1,12969
1998,4,27,14837
2010,3,14,16715
2012,9,7,17361
2001,8,16,17555
2013,12,12,17368
2014,7,14,16688
2018,5,31,20331
2006,3,17,20082
2018,6,26,20504
2001,2,17,14914
2003,4,19,15112
2004,7,16,20094
2006,5,22,20052
2016,10,23,15343
2018,12,30,20169
1996,11,23,13207
1998,1,29,14806
2007,12,30,19439
2008,2,3,18075
2009,11,14,14090
2010,4,10,14997
2010,8,13,18915
1999,4,18,14401
2001,11,4,13679
2001,7,27,17597
2011,9,9,17163
2012,10,8,17461
2013,3,15,18643
2014,12,13,12085
2004,2,28,17028
2005,7,4,19293
2015,5,9,12889
1996,6,9,14137
2007,9,30,19912
2020,1,9,20731
1999,1,10,13956
2001,4,25,17345
2004,8,27,20542
2012,5,20,16432
2016,3,22,15554
2002,3,22,14862
2008,11,10,18288
2015,10,20,16062
2015,6,23,16707
2007,10,18,20777
2010,5,23,17382
2010,9,20,18241
2002,9,18,14790
2004,11,25,15070
2013,2,26,15858
2015,12,20,15715
2016,6,6,16382
2005,10,22,16544
2005,6,21,20508
2013,5,31,18401
2017,11,14,15407
2017,7,13,16845
2018,8,13,20484
2019,9,3,18642
1996,7,8,14664
1998,5,14,14728
1999,8,11,15411
2009,3,2,16249
2002,4,2,14576
2013,11,27,18311
2014,4,1,16078
2005,3,7,20153
2008,12,25,14985
2016,1,22,12989
2017,8,10,17039
2018,7,15,20532
2019,10,17,21390
1996,2,20,14097
1997,7,12,13960
1998,8,14,15164
2007,5,1,20276
2008,9,26,18584
2013,8,25,17598
2016,7,19,16537
2000,5,17,15428
2000,9,24,15015
2002,11,18,14445
2008,3,30,19222
2019,8,22,21363
1996,9,23,14610
1999,11,20,13487
2011,4,17,16378
2011,8,24,17212
1997,12,28,14220
2002,5,15,14830
2003,12,13,15457
2014,5,16,16637
2000,12,28,15616
2005,2,18,20186
2006,1,15,18042
2008,6,30,20680
2019,1,7,19851
2020,2,10,20546
1997,6,29,14581
1998,9,3,13631
2009,7,5,18247
2010,12,4,14015
2001,3,10,15135
2002,12,14,12080
2003,5,8,17853
2013,7,6,15902
2014,8,4,17233
2000,10,11,15683
2004,6,7,19766
2006,4,9,19175
2006,8,14,20604
2017,12,31,12913
2019,2,21,19699
1997,3,31,14442
2020,5,26,4954
2012,9,13,17361
2014,3,23,16105
2017,6,28,16831
2008,7,11,20747
2009,2,23,18157
2020,3,31,9346
1998,2,25,14236
2012,7,18,17363
2003,4,25,18162
2016,2,1,14620
2006,5,24,19656
2006,9,19,19401
2008,10,13,18705
2018,12,20,20720
2019,5,2,20631
1997,2,10,14922
1998,1,7,14328
1999,12,4,13080
2010,8,11,18817
2011,1,15,13135
2012,2,2,16359
2000,6,2,14931
2001,11,30,14278
2001,7,29,16851
2003,9,19,17402
2013,3,1,17903
2014,12,11,15788
2006,12,29,19039
2007,1,4,20393
2018,11,8,20740
2020,9,19,10357
1996,6,15,13594
1997,11,11,14877
1998,4,17,14883
2001,8,26,16946
2004,4,30,19857
2004,8,29,19429
2012,5,18,17656
2014,7,20,16655
2016,3,16,15712
2018,5,25,20914
2006,3,31,19912
2008,11,4,17759
2009,6,20,16190
2007,10,20,16986
2012,3,23,17642
2014,9,13,12407
2002,9,20,14726
2003,8,6,18382
2004,11,3,19700
2004,7,26,20380
2015,12,18,16523
2016,10,13,16142
2016,6,12,15724
2017,3,4,12514
1996,11,9,13160
2007,12,20,20746
2009,11,8,16966
2018,8,11,17183
2019,9,13,21265
2020,6,13,6945
1999,4,8,15091
1999,8,1,14607
2011,9,3,13011
2012,10,6,13396
2002,4,8,14755
2004,2,26,19004
2013,11,29,12888
2015,5,3,15906
2015,9,26,12644
2005,3,9,19814
2010,10,26,17101
2018,7,21,18447
2020,1,15,19573
1998,8,20,15145
1999,1,12,14515
2013,8,19,18754
2015,10,30,15726
2015,6,17,16492
2016,11,20,14611
2018,1,18,37140
1996,4,22,14542
2000,9,22,15485
2008,3,24,20478
2010,5,17,18227
2010,9,30,17815
1996,9,29,14027
1999,7,27,15353
2001,6,12,16952
2011,8,22,17627
2013,2,16,14147
2004,3,15,19744
2005,10,12,19072
2005,6,19,19781
2017,11,8,15568
2017,7,7,16634
1996,7,2,14905
2007,8,17,20836
2008,6,20,20821
2019,1,1,17844
2012,6,5,16970
2000,2,5,13213
2002,12,4,13809
2008,12,19,16608
2015,1,6,14876
2016,1,28,15207
1996,2,18,13789
2006,8,4,20668
2007,5,11,20853
1997,3,17,15010
2016,7,21,15683
2000,5,23,15471
2002,11,24,13656
2005,9,23,18238
2017,10,25,15607
2017,6,18,16340
2019,8,28,21102
1997,9,25,14976
1999,11,18,15646
2009,2,13,18182
2010,1,10,16281
2011,4,23,14059
2002,5,9,14746
2003,12,3,18271
2012,7,12,18045
2014,5,10,12926
2000,3,12,14984
2005,2,24,19290
2006,1,9,19483
2016,2,7,12362
1996,3,7,13873
1997,6,27,15181
2008,10,19,17648
2009,7,15,19094
2010,12,10,17928
1999,12,2,15549
2011,1,9,14741
2012,2,8,15694
2014,8,10,16275
2000,10,1,15003
2000,6,8,15654
2003,9,29,18138
2017,12,17,13796
2006,12,27,20319
2018,11,14,20134
2020,5,16,4857
1997,11,13,14641
2003,3,29,15559
2006,10,31,19412
2006,6,30,20398
2008,7,13,19145
2014,7,26,14650
2018,5,19,16525
2019,12,9,20674
2020,3,17,20250
1998,2,19,14832
2009,6,26,18749
2011,12,19,16724
2001,2,5,15743
2002,1,2,13922
2014,9,7,15502
2004,7,4,16309
2006,5,2,19356
2006,9,29,20084
2016,10,3,16085
2017,3,14,11932
2018,12,10,19416
2019,5,4,16860
1996,11,3,14137
1998,1,1,12949
2007,12,18,20368
2009,11,18,17375
2010,4,6,17533
2020,6,3,5911
1999,4,6,15129
2001,11,24,12540
2001,7,23,17116
2012,10,28,15687
2014,12,17,15744
2004,2,16,19566
2015,5,29,16872
2007,9,10,20185
2010,6,29,18738
2020,1,21,19036
2004,4,24,17087
2004,8,23,20538
2012,5,24,17660
2015,3,28,14238
2016,3,10,15896
2015,6,27,14604
2018,1,20,29576
1998,6,22,14821
2010,5,27,18212
2012,3,25,16657
2001,10,9,14411
2001,6,2,15309
2002,9,14,12798
2003,8,12,18195
2004,11,5,20145
2013,2,22,17525
2015,12,24,12903
2016,6,10,16751
2005,10,2,18531
2005,6,9,20330
2017,11,2,15814
2018,8,1,21306
1996,7,28,14249
1998,5,26,14826
1999,8,7,13746
2002,4,14,14090
2012,6,11,18023
2013,11,7,18062
2015,9,28,16471
2016,4,25,16034
2000,2,11,14993
2008,12,21,15866
2010,10,28,18246
2016,1,26,14178
2018,7,19,21744
1996,2,24,12964
1998,8,26,14891
2007,5,21,20969
2002,6,21,15093
2013,8,21,18246
2016,11,30,15233
2016,7,31,15973
1996,4,16,14647
2002,11,30,12321
2007,3,20,20890
2008,3,2,19095
2009,10,7,17385
2019,8,26,21605
1997,9,23,14864
1999,11,24,15782
1999,7,17,13524
2010,1,12,16679
2011,4,13,17028
2011,8,12,18366
2002,5,3,14701
2004,3,1,19387
2013,10,18,18180
2014,5,12,15639
2015,4,12,15916
2015,8,13,17092
2006,1,3,19290
2007,8,23,20039
2008,6,18,20519
2018,4,4,19494
2019,1,27,18322
1997,6,1,14344
2010,12,16,17759
2002,12,26,13947
