_1,_2
12896,Lubbock
14908,Santa Ana
11336,Dillingham
15023,Santa Rosa
11823,Fort Wayne
11898,Grand Forks
12478,New York
10930,Crescent City
11471,Eau Claire
15323,Bristol/Johnson City/Kingsport
13241,Meridian
13342,Milwaukee
10926,Cordova
12902,Liberal
13377,Monroe
14534,Riverton/Lander
10257,Albany
14113,Pocatello
12390,Kinston
13983,Owensboro
13341,Kansas City
11986,Grand Rapids
16101,Yakima
11146,Charleston/Dunbar
13830,Kahului
10785,Burlington
12436,Inyokern
10558,Scottsbluff
13290,Manhattan/Ft. Riley
14570,Reno
10627,Bismarck/Mandan
14711,State College
12343,International Falls
11274,Dubuque
14237,Prescott
11468,Kearney
11140,Corpus Christi
15412,Knoxville
14004,Everett
12119,Hagerstown
14871,Salem
11481,Panama City
13347,Hoolehua
13344,Muskegon
11002,Chico
12389,Williston
13577,Myrtle Beach
11495,Houston
12992,Little Rock
14685,Savannah
11433,Detroit
13256,Mission/McAllen/Edinburg
11252,Daytona Beach
11997,Gustavus
11278,Washington
15249,Tallahassee
10245,King Salmon
15041,Sun Valley/Hailey/Ketchum
10990,Charlottesville
14520,Rhinelander
12917,Columbus
14842,San Angelo
11283,Dodge City
11624,Key West
11977,Green Bay
14709,Deadhorse
11445,Unalaska
10631,Bemidji
11097,Cody
15008,St. Cloud
11203,Mosinee
10329,Naples
12511,Joplin
10208,Augusta
14288,Pueblo
14716,Stockton
14262,Palm Springs
15380,Traverse City
11122,Casper
13424,Modesto
11288,Decatur
15235,Tokeen
11503,Eagle
10529,Hartford
12819,Ketchikan
10732,Aguadilla
14193,Pensacola
10423,Austin
10620,Billings
10739,Brainerd
10731,Brunswick
11337,Duluth
12945,Lexington
15401,Texarkana
10185,Alexandria
14683,San Antonio
10434,Scranton/Wilkes-Barre
12448,Jackson/Vicksburg
11637,Fargo
10304,Aniak
10643,Branson
13433,Minot
13930,Chicago
11537,Elmira/Corning
12177,Hobbs
12156,Helena
14794,St. George
13541,Martha's Vineyard
13277,Montgomery
14112,St. Petersburg
13061,Laredo
13964,North Bend/Coos Bay
15582,Vernal
13232,Chicago
15411,Tyler
13184,Saginaw/Bay City/Midland
14783,Springfield
11298,Dallas/Fort Worth
13931,Norfolk
10792,Buffalo
14162,Palmdale
11233,Cheyenne
11996,Greer
11980,Grand Island
14635,Fort Myers
12255,Hays
12982,Lihue
10868,Columbia
10781,Baton Rouge
10140,Albuquerque
13296,Manchester
11092,Moab
