_1,_2
Elmira/Corning,6504
North Bend/Coos Bay,3293
Aguadilla,9322
San Antonio,299761
Columbia,63118
Aspen,23850
Sault Ste. Marie,1037
College Station/Bryan,10075
Las Vegas,1136100
Cody,4247
Hilo,19905
Cleveland,440650
Jamestown,1221
White Plains,62810
Iron Mountain/Kingsfd,858
Dickinson,899
Clarksburg/Fairmont,656
Escanaba,938
Butte,2849
Marathon,45
Hilton Head,1917
Waterloo,1882
Plattsburgh,1071
Evansville,23015
Corpus Christi,44069
Columbus,290367
La Crosse,11003
Vernal,324
Dubuque,5898
Roswell,3726
Madison,71347
Inyokern,1869
Missoula,20698
Twin Falls,5972
Rochester,127479
Grand Forks,8060
Bangor,18883
Buffalo,174258
Medford,26643
Hartford,216335
Scottsbluff,336
Mayaguez,43
St. Petersburg,7035
Nome,7546
Grand Rapids,101492
Salem,510
Aniak,28
Sarasota/Bradenton,43807
Hibbing,908
Aberdeen,1041
Midland/Odessa,57537
Latrobe,1669
Dothan,8601
Alpena,905
Bozeman,28281
Tulsa,157459
Grand Junction,18404
Brownsville,11392
Brainerd,914
Key West,11181
Branson,1794
Owensboro,91
Decatur,34
Hobbs,1663
Louisville,155454
Garden City,1343
Oklahoma City,174349
El Centro,2350
Augusta,20564
Barrow,5579
Belleville,796
Jackson,23328
Salt Lake City,744679
Atlantic City,7167
Gunnison,3917
Lincoln,20174
Miami,556058
Appleton,19811
Ithaca/Cortland,3482
Klamath Falls,1739
Omaha,170558
Charlotte,919249
Peoria,25144
Albuquerque,251231
New York,1691536
Detroit,952794
Punta Gorda,4821
Santa Ana,299256
Texarkana,6394
Flint,32602
Pinehurst/Southern Pines,178
Honolulu,237416
Ontario,228024
Kalamazoo,18622
Scranton/Wilkes-Barre,16942
Oakland,421177
Guam,1618
State College,4577
Melbourne,16571
Baltimore,674524
Abilene,14159
Pago Pago,299
Austin,339784
Williamsport,8
Seattle,899418
Longview,4491
Portsmouth,225
Tampa,519512
Crescent City,4380
Cape Girardeau,487
Wichita Falls,7373
Cedar Rapids/Iowa City,53133
San Jose,383810
Allentown/Bethlehem/Easton,33399
Pellston,1816
Binghamton,5273
Savannah,79134
Long Beach,67311
Albany,107594
Modesto,6552
Myrtle Beach,38082
West Palm Beach/Palm Beach,211922
Springfield,53839
Providence,156518
Montrose/Delta,10559
Rapid City,23888
Fargo,31806
Liberal,327
Eagle,15571
Oxnard/Ventura,2012
Durango,12378
Bakersfield,17123
Amarillo,49384
Milwaukee,214154
Reno,179156
Kona,44664
Duluth,13046
Staunton,474
